codigo_municipio,municipio,n_unidades_economicas_urbanas,flag_universo_analitico_menor_30,n_universo_caracterizacion,n_universo_sociodemografico_educacion,n_universo_sociodemografico_trabajadores,n_universo_sectorial_ingresos_2023,n_universo_territorial_credito_2023,poblacion_total_2023,poblacion_cabecera_2023,pct_poblacion_cabecera_2023,area_municipal_km2,densidad_poblacion_hab_km2_2023,ue_urbanas_visibles_por_1000_hab_total_2023,va_total_2023_miles_millones_cop,va_2023_por_habitante_millones_cop,distancia_lineal_nucleo_urbano_top5_km,nodo_mas_cercano,tramo_distancia,cluster,perfil,silueta_individual,distancia_centroide,margen_pertenencia,tipo_asignacion,region_contigua,candidato_polo_secundario,madurez_permanencia_observada,formalizacion_gestion,escala_capacidades,finanzas_redes,densidad_emprendedora,pct_operacion_menos_3_anios,pct_operacion_mas_10_anios,pct_persona_natural,pct_registro_camara_comercio_si,pct_rut_si,pct_no_lleva_registros_contables,pct_estados_financieros,pct_gestion_contable_formal,pct_ue_un_solo_trabajador_sociodemografico,pct_ue_ingresos_hasta_10m_2023,pct_activos_fijos_mayores_50m_2023,pct_remuneracion_mayor_10m_2023,pct_propietarios_educacion_superior,pct_propietarias_mujeres,pct_propietarios_menores_35,promedio_reporte_medios_digitales,pct_solicito_credito_si,pct_obtuvo_credito_entre_solicitantes,pct_fuente_credito_formal_entre_fuentes_reportadas,pct_asociacion_productores_comerciantes_si,pct_cooperativa_si,pct_ica_si_entre_respuestas_validas,pct_iva_si_entre_respuestas_validas,pct_renta_si_entre_respuestas_validas,pct_ue_vivienda_actividad_visible,pct_ue_emplazamiento_movil_semifijo,n_gestion_contable,n_activos_fijos,n_remuneracion,n_iva_valido,n_renta_valido,pct_ciiu_primario_extractivo_sectorial_2023,pct_ciiu_manufactura_sectorial_2023,pct_ciiu_infraestructura_logistica_sectorial_2023,pct_ciiu_comercio_sectorial_2023,pct_ue_alojamiento_comidas_sectorial_2023,pct_ciiu_servicios_empresariales_conocimiento_sectorial_2023,pct_ciiu_servicios_sociales_personales_sectorial_2023
15403,LA UVITA,153,False,134,125,125,101,103,2876,1333,46.3491,161.56318622,17.801084933319903,53.19888734353268,77.2438663610051,26.858089833451007,70.24248663216896,DUITAMA,Muy lejano,5,Permanencia con brechas de gestión,0.1289613564540049,2.8710994184736016,0.6534629863828276,intermedia,3,True,1.9416316472134367,-2.701809419446197,-1.1933087213412217,-1.4647210424797863,1.0663941996027213,44.0299,32.0896,98.5075,38.0597,16.4179,66.4179,4.4776,5.223880597014925,84.8,28.7129,6.796116504854369,4.854368932038835,12.0,60.0,12.8,8.73785,4.8544,100.0,100.0,0.9709,0.0,36.2745,31.37254901960784,5.88235294117647,41.8301,0.0,134.0,103.0,103.0,102.0,102.0,0.0,5.8252,0.0,58.2524,26.2136,0.0,9.7087
15407,VILLA DE LEYVA,1357,False,1317,1039,1039,882,950,18665,9467,50.7206,126.58841268,147.44635472428928,72.70291990356282,762.3258181020179,40.8425297670516,22.312874000220745,TUNJA,Próximo,3,Mayores capacidades y densidad,0.3137787317903942,3.2319574304964536,1.9245221022456744,intermedia,5,False,-0.7472732412994205,2.572033977152696,3.53950452441958,0.8363343571682036,2.3028705864587504,59.3014,14.4267,86.5604,80.5619,81.0175,21.1086,17.6158,33.10554290053151,49.2782,10.3175,21.87857961053837,45.79976985040276,47.257,56.8816,23.3879,44.07895,24.6316,99.1453,87.6068,1.1579,0.4211,75.1432,31.75519630484989,42.3963133640553,3.6846,7.3692,1317.0,873.0,869.0,866.0,868.0,0.0,5.3684,1.7895,44.7368,34.9474,5.0526,8.1053
15425,MACANAL,120,False,120,110,110,71,75,5249,1321,25.1667,199.96600556,26.24946167875035,22.86149742808154,81.7229470412683,15.569241196659991,60.57206142859452,TUNJA,Muy lejano,4,Capacidades intermedias y baja densidad,0.4556122559280026,0.6405237566249401,1.435159325323252,representativa,1,False,-0.2172075629993379,0.1619679944149653,0.8101500417856465,-0.3223217921803191,-0.8568730095677718,60.0,20.8333,90.8333,50.0,31.6667,24.1667,2.5,3.333333333333333,56.3636,25.3521,2.857142857142857,17.142857142857142,21.8182,58.1818,20.0,20.666675,18.6667,100.0,85.7143,0.0,0.0,72.0588,0.0,0.0,12.5,5.8333,120.0,70.0,70.0,68.0,68.0,0.0,2.6667,1.3333,62.6667,24.0,4.0,5.3333
15442,MARIPÍ,142,False,132,110,110,90,96,5873,936,15.9373,160.6847894,36.54981919526977,24.178443725523582,130.71870410002657,22.25756923208353,24.587868449683487,CHIQUINQUIRÁ,Intermedio,1,Brechas de escala y gestión,0.2451567257954003,1.11414500671148,0.6558952686687023,intermedia,4,False,0.6429443552598075,-1.200242357749702,-1.655615115196076,0.0381639057161537,-0.7733839672616383,52.2727,24.2424,90.9091,54.5455,34.8485,63.6364,7.5758,8.333333333333332,91.8182,45.5556,5.681818181818182,13.636363636363637,13.6364,67.2727,11.8182,12.500025,21.875,95.2381,85.7143,0.0,0.0,35.2273,11.363636363636363,6.8181818181818175,11.2676,11.9718,132.0,88.0,88.0,88.0,88.0,0.0,1.0417,0.0,75.0,14.5833,2.0833,7.2917
15455,MIRAFLORES,546,False,546,467,467,312,347,9040,5598,61.9248,258.7141808,34.94203515263977,60.39823008849557,212.1106686316344,23.46356953889761,46.42956208491098,TUNJA,Lejano,3,Mayores capacidades y densidad,0.3493738783277462,1.1913859223991847,1.3101668333339405,representativa,1,False,0.5603197362373695,0.6613863454773751,0.6265002398737716,1.0063155945172018,1.5228032666831617,53.1136,23.9927,91.9414,52.5641,49.4505,26.5568,8.2418,11.355311355311356,70.8779,18.2692,18.91025641025641,18.64951768488746,23.9829,56.9593,17.773,21.757925,16.4265,96.4912,89.4737,3.7464,1.4409,42.9487,19.35483870967742,21.7948717948718,3.4799,18.8645,546.0,312.0,311.0,310.0,312.0,0.0,6.0519,1.4409,62.536,16.7147,4.3228,8.9337
15464,MONGUA,159,False,138,124,124,75,79,4564,2043,44.7634,360.8171592,12.64906583190016,34.83786152497809,116.30920679639569,25.484050568886,22.049939783337177,SOGAMOSO,Próximo,2,Renovación y articulación financiera,-0.075420306336841,1.4565446300413,0.1067630079218915,fronteriza,2,False,-0.9491394333163078,-0.820079387024883,-0.585083347401293,-0.144062103338018,-0.0976202057886111,69.5652,20.2899,92.7536,34.7826,21.7391,35.5072,21.0145,21.014492753623188,72.5806,41.3333,5.47945205479452,8.333333333333332,17.7419,62.0968,21.7742,14.873425,20.2532,100.0,93.75,0.0,1.2658,26.3889,30.55555555555556,8.333333333333332,34.5912,8.805,138.0,73.0,72.0,72.0,72.0,0.0,5.0633,1.2658,63.2911,20.2532,1.2658,8.8608
15466,MONGUÍ,267,False,247,214,214,125,134,4313,2374,55.0429,68.85440758,62.639417745172615,61.90586598655228,65.32427932640093,15.14590292752166,6.763585946784144,SOGAMOSO,Muy próximo,3,Mayores capacidades y densidad,0.2229733383425697,1.6581041108574484,0.9945034366299992,intermedia,1,False,-1.4735897113853138,0.2377943158371882,1.2662452870909828,-0.008633044785995,1.6183812545780258,67.6113,12.9555,90.2834,55.4656,34.8178,26.7206,22.6721,24.291497975708506,64.9533,30.4,14.049586776859504,17.355371900826448,31.3084,58.8785,19.6262,32.2761,18.6567,100.0,96.0,0.7463,0.7463,54.1667,43.333333333333336,20.0,30.7116,6.7416,247.0,121.0,121.0,120.0,120.0,0.0,11.9403,0.7463,54.4776,28.3582,0.7463,3.7313
15469,MONIQUIRÁ,1350,False,1297,1163,1163,771,861,23611,12599,53.3607,218.22856043,108.19390437931966,57.17673965524544,494.83097516587486,20.957645807711444,38.16389171283794,CHIQUINQUIRÁ,Lejano,3,Mayores capacidades y densidad,0.3770659628920154,0.4746541636196837,1.899573249957037,representativa,1,False,-0.4115059925117781,1.0209897539529262,1.3234914910493023,0.0604363204918798,1.3185738675096077,60.0617,18.7355,88.8204,51.3493,54.5104,29.6839,8.6353,18.9668465690054,63.8005,12.7108,10.276679841897234,21.19205298013245,25.7954,59.1574,22.6139,27.555175,16.8409,95.8621,92.4138,1.3937,1.0453,31.5858,15.03957783641161,21.31578947368421,4.6667,20.2963,1297.0,759.0,755.0,758.0,760.0,0.0,6.0395,1.1614,61.5563,18.8153,3.7166,8.7108
15476,MOTAVITA,78,False,78,64,64,51,52,5346,865,16.1803,60.04483222,89.03347386187433,14.590347923681255,123.33722379986988,23.070935989500537,9.754417806475043,TUNJA,Muy próximo,4,Capacidades intermedias y baja densidad,0.1699296935925145,1.5603998897269182,0.2598615787161138,intermedia,1,False,-1.2108164254002078,0.4120292349355918,0.3822909476088268,0.3892899867953787,-1.3812302686560995,65.3846,14.1026,92.3077,65.3846,62.8205,46.1538,2.5641,23.07692307692308,60.9375,19.6078,7.6923076923076925,28.846153846153843,20.3125,56.25,17.1875,11.538475,25.0,92.3077,84.6154,0.0,0.0,35.2941,15.68627450980392,19.607843137254903,2.5641,0.0,78.0,52.0,52.0,51.0,51.0,0.0,9.6154,0.0,40.3846,40.3846,1.9231,7.6923
15480,MUZO,402,False,386,334,334,258,281,8308,5530,66.5623,137.87412728,60.257861020783096,48.38709677419354,150.6454386104413,18.132575663269293,36.2139591228089,CHIQUINQUIRÁ,Intermedio,3,Mayores capacidades y densidad,0.0742905157724653,1.3367650745818684,0.1422552300421111,intermedia,4,False,0.0182087635575574,0.3197233100469361,0.3206566476534257,1.0197551542582377,0.7613462358458767,54.9223,19.4301,89.8964,59.5855,51.0363,42.228,5.4404,9.067357512953368,70.3593,23.6434,6.640625,39.688715953307394,17.6647,61.0778,20.6587,24.82205,25.2669,94.3662,71.831,1.4235,0.0,38.2812,12.5,17.578125,3.9801,13.1841,386.0,256.0,257.0,256.0,256.0,0.0,4.6263,1.0676,56.9395,20.6406,3.2028,13.5231
